T [K] - Wyniki	P [W] - Wyniki	T [K] - Krzywa dopasowania	P [W] - Krzywa dopasowania	
		2378,38	0,00359741	
		2379,38	0,00360342	
		2380,38	0,00360943	
		2381,38	0,00361546	
		2382,38	0,00362149	
		2383,38	0,00362753	
		2384,38	0,00363357	
		2385,38	0,00363963	
		2386,38	0,00364569	
		2387,38	0,00365176	
		2388,38	0,00365783	
		2389,38	0,00366392	
		2390,38	0,00367001	
		2391,38	0,00367611	
		2392,38	0,00368222	
		2393,38	0,00368833	
		2394,38	0,00369445	
		2395,38	0,00370058	
		2396,38	0,00370672	
		2397,38	0,00371287	
		2398,38	0,00371902	
		2399,38	0,00372518	
		2400,38	0,00373135	
		2401,38	0,00373752	
		2402,38	0,0037437	
		2403,38	0,0037499	
		2404,38	0,00375609	
		2405,38	0,0037623	
		2406,38	0,00376851	
		2407,38	0,00377474	
		2408,38	0,00378096	
		2409,38	0,0037872	
		2410,38	0,00379345	
		2411,38	0,0037997	
		2412,38	0,00380596	
		2413,38	0,00381223	
		2414,38	0,0038185	
		2415,38	0,00382478	
		2416,38	0,00383107	
		2417,38	0,00383737	
		2418,38	0,00384368	
		2419,38	0,00384999	
		2420,38	0,00385631	
		2421,38	0,00386264	
		2422,38	0,00386898	
		2423,38	0,00387533	
		2424,38	0,00388168	
		2425,38	0,00388804	
		2426,38	0,00389441	
		2427,38	0,00390078	
		2428,38	0,00390717	
		2429,38	0,00391356	
		2430,38	0,00391996	
		2431,38	0,00392637	
		2432,38	0,00393278	
		2433,38	0,00393921	
		2434,38	0,00394564	
		2435,38	0,00395208	
		2436,38	0,00395852	
		2437,38	0,00396498	
		2438,38	0,00397144	
		2439,38	0,00397791	
		2440,38	0,00398439	
		2441,38	0,00399087	
		2442,38	0,00399737	
		2443,38	0,00400387	
		2444,38	0,00401038	
		2445,38	0,0040169	
		2446,38	0,00402342	
		2447,38	0,00402996	
		2448,38	0,0040365	
		2449,38	0,00404305	
		2450,38	0,00404961	
		2451,38	0,00405617	
		2452,38	0,00406274	
		2453,38	0,00406933	
		2454,38	0,00407591	
		2455,38	0,00408251	
		2456,38	0,00408912	
		2457,38	0,00409573	
		2458,38	0,00410235	
		2459,38	0,00410898	
		2460,38	0,00411562	
		2461,38	0,00412226	
		2462,38	0,00412892	
		2463,38	0,00413558	
		2464,38	0,00414225	
		2465,38	0,00414892	
		2466,38	0,00415561	
		2467,38	0,0041623	
		2468,38	0,004169	
		2469,38	0,00417571	
		2470,38	0,00418243	
		2471,38	0,00418916	
		2472,38	0,00419589	
		2473,38	0,00420263	
		2474,38	0,00420938	
		2475,38	0,00421614	
		2476,38	0,00422291	
		2477,38	0,00422968	
		2478,38	0,00423646	
		2479,38	0,00424326	
		2480,38	0,00425005	
		2481,38	0,00425686	
		2482,38	0,00426368	
		2483,38	0,0042705	
		2484,38	0,00427733	
		2485,38	0,00428417	
		2486,38	0,00429102	
		2487,38	0,00429787	
		2488,38	0,00430474	
		2489,38	0,00431161	
		2490,38	0,00431849	
		2491,38	0,00432538	
		2492,38	0,00433228	
		2493,38	0,00433918	
		2494,38	0,0043461	
		2495,38	0,00435302	
		2496,38	0,00435995	
		2497,38	0,00436689	
		2498,38	0,00437383	
		2499,38	0,00438079	
		2500,38	0,00438775	
		2501,38	0,00439472	
		2502,38	0,0044017	
		2503,38	0,00440869	
		2504,38	0,00441568	
		2505,38	0,00442269	
		2506,38	0,0044297	
		2507,38	0,00443672	
		2508,38	0,00444375	
		2509,38	0,00445079	
		2510,38	0,00445784	
		2511,38	0,00446489	
		2512,38	0,00447195	
		2513,38	0,00447902	
		2514,38	0,0044861	
		2515,38	0,00449319	
		2516,38	0,00450029	
		2517,38	0,00450739	
		2518,38	0,0045145	
		2519,38	0,00452163	
		2520,38	0,00452875	
		2521,38	0,00453589	
		2522,38	0,00454304	
		2523,38	0,00455019	
		2524,38	0,00455736	
		2525,38	0,00456453	
		2526,38	0,00457171	
		2527,38	0,0045789	
		2528,38	0,0045861	
		2529,38	0,0045933	
		2530,38	0,00460052	
		2531,38	0,00460774	
		2532,38	0,00461497	
		2533,38	0,00462221	
		2534,38	0,00462946	
		2535,38	0,00463671	
		2536,38	0,00464398	
		2537,38	0,00465125	
		2538,38	0,00465853	
		2539,38	0,00466582	
		2540,38	0,00467312	
		2541,38	0,00468043	
		2542,38	0,00468775	
		2543,38	0,00469507	
		2544,38	0,00470241	
		2545,38	0,00470975	
		2546,38	0,0047171	
		2547,38	0,00472446	
		2548,38	0,00473182	
		2549,38	0,0047392	
		2550,38	0,00474659	
		2551,38	0,00475398	
		2552,38	0,00476138	
		2553,38	0,00476879	
		2554,38	0,00477621	
		2555,38	0,00478364	
		2556,38	0,00479108	
		2557,38	0,00479852	
		2558,38	0,00480597	
		2559,38	0,00481344	
		2560,38	0,00482091	
		2561,38	0,00482839	
		2562,38	0,00483588	
		2563,38	0,00484337	
		2564,38	0,00485088	
		2565,38	0,00485839	
		2566,38	0,00486592	
		2567,38	0,00487345	
		2568,38	0,00488099	
		2569,38	0,00488854	
		2570,38	0,0048961	
		2571,38	0,00490366	
		2572,38	0,00491124	
		2573,38	0,00491882	
		2574,38	0,00492642	
